Keyword,Pincode,Search Status,Timestamp,Position,Is Sponsored,Product ID,Brand Name,Name,Pack Size,Price (Rs),MRP (Rs),Discount (Rs),Discount % of MRP,Inventory (stock),Max Cart,Sold Out,URL
peanut butter,560001,ok,2026-09-15T20:54:24,31,False,650898,MyFitness,MyFitness Zero Added Sugar Crunchy Peanut Butter,510 g,304,349,45,12.9,2,2,False,https://blinkit.com/prn/product/prid/650898
peanut butter,560001,ok,2026-09-15T20:54:24,32,False,782394,Disano,Disano Crunchy Peanut Butter - Chocolate,924 g,275,550,275,50.0,2,2,False,https://blinkit.com/prn/product/prid/782394
peanut butter,560001,ok,2026-09-15T20:54:24,33,True,504877,Amul,Amul Hazelnut Chocolate Spread,300 g,270,270,0,0.0,1,1,False,https://blinkit.com/prn/product/prid/504877
peanut butter,560001,ok,2026-09-15T20:54:24,34,False,538435,MyFitness,MyFitness All Natural Peanut Butter Crunchy Spread (Unsweetened),510 g,281,319,38,11.9,3,3,False,https://blinkit.com/prn/product/prid/538435
peanut butter,560001,ok,2026-09-15T20:54:24,35,False,749183,MyFitness,MyFitness Chocolate Crunchy Peanut Butter,900 g,440,499,59,11.8,4,4,False,https://blinkit.com/prn/product/prid/749183
peanut butter,560001,ok,2026-09-15T20:54:24,36,False,667913,Pintola,Pintola Classic Creamy Peanut Butter,500 g,200,215,15,7.0,2,2,False,https://blinkit.com/prn/product/prid/667913
peanut butter,560001,ok,2026-09-15T20:54:24,37,False,525708,Pintola,Pintola High Protein Dark Chocolate Crunchy Peanut Butter,510 g,349,375,26,6.9,1,1,False,https://blinkit.com/prn/product/prid/525708
peanut butter,560001,ok,2026-09-15T20:54:24,38,False,442182,Sundrop,Sundrop Zero Added Sugar Crunchy Peanut Butter,924 g,249,325,76,23.4,3,3,False,https://blinkit.com/prn/product/prid/442182
peanut butter,560001,ok,2026-09-15T20:54:24,39,False,538659,MyFitness,MyFitness Chocolate Peanut Butter Crispy Spread,227 g,148,159,11,6.9,4,4,False,https://blinkit.com/prn/product/prid/538659
peanut butter,560001,ok,2026-09-15T20:54:24,40,False,600537,BeastLife,BeastLife Nuttin Crunchy Peanut Butter,350 g,210,233,23,9.9,1,1,False,https://blinkit.com/prn/product/prid/600537
peanut butter,560001,ok,2026-09-15T20:54:24,41,False,660652,BeastLife,BeastLife Nuttin' Chocolate Crunchy Peanut Butter,350 g,218,310,92,29.7,2,2,False,https://blinkit.com/prn/product/prid/660652
peanut butter,560001,ok,2026-09-15T20:54:24,42,False,498013,Pintola,Pintola Dark Chocolate Creamy Peanut Butter,1 kg,443,475,32,6.7,2,2,False,https://blinkit.com/prn/product/prid/498013
peanut butter,560001,ok,2026-09-15T20:54:24,43,False,42807,Skippy,Skippy Super Chunk Crunchy Peanut Butter,462 g,563,575,12,2.1,2,2,False,https://blinkit.com/prn/product/prid/42807
peanut butter,560001,ok,2026-09-15T20:54:24,44,False,763113,Sundrop,Sundrop High Protein Dark Chocolate Peanut Butter (Crunchy),500 g,249,325,76,23.4,2,2,False,https://blinkit.com/prn/product/prid/763113
peanut butter,560001,ok,2026-09-15T20:54:24,45,False,562029,Sundrop,Sundrop Peanut Butter with Grape Jelly,340 g,125,150,25,16.7,3,3,False,https://blinkit.com/prn/product/prid/562029
peanut butter,560001,ok,2026-09-15T20:54:24,46,False,498024,Pintola,Pintola Dark Chocolate Creamy Peanut Butter (High Protein),510 g,349,375,26,6.9,3,3,False,https://blinkit.com/prn/product/prid/498024
peanut butter,560001,ok,2026-09-15T20:54:24,47,False,482801,Kissan,Kissan Crunchy Peanut Butter,350 g,150,175,25,14.3,2,2,False,https://blinkit.com/prn/product/prid/482801
peanut butter,560001,ok,2026-09-15T20:54:24,48,False,482948,MyFitness,MyFitness High Protein Chocolate Peanut Butter Crispy Spread,510 g,278,319,41,12.9,2,2,False,https://blinkit.com/prn/product/prid/482948
peanut butter,560001,ok,2026-09-15T20:54:24,49,False,444826,Pintola,Pintola All Natural Crunchy Almond Butter,200 g,369,398,29,7.3,1,1,False,https://blinkit.com/prn/product/prid/444826
peanut butter,560001,ok,2026-09-15T20:54:24,50,False,1377912,Sundrop,Sundrop Crunchy Peanut Butter With Jaggery,900 g,199,225,26,11.6,1,1,False,https://blinkit.com/prn/product/prid/1377912
peanut butter,560001,ok,2026-09-15T20:54:24,51,False,767719,Sundrop,Sundrop Chocolate Crunchy Peanut Butter,500 g,149,199,50,25.1,2,2,False,https://blinkit.com/prn/product/prid/767719
peanut butter,560001,ok,2026-09-15T20:54:24,52,False,444823,MyFitness,MyFitness Original Peanut Butter Smooth Spread,510 g,281,319,38,11.9,2,2,False,https://blinkit.com/prn/product/prid/444823
peanut butter,560001,ok,2026-09-15T20:54:24,53,False,552667,Kissan,Kissan Hazelnut Choco Peanut Butter,350 g,215,255,40,15.7,1,1,False,https://blinkit.com/prn/product/prid/552667
peanut butter,560001,ok,2026-09-15T20:54:24,54,False,554131,MyFitness,MyFitness Chocolate Peanut Butter with Almond Crunch,510 g,345,379,34,9.0,2,2,False,https://blinkit.com/prn/product/prid/554131
peanut butter,560001,ok,2026-09-15T20:54:24,55,False,716466,Doctor's Choice,Doctor's Choice High Protein Crunchy Peanut Butter,350 g,349,449,100,22.3,1,1,False,https://blinkit.com/prn/product/prid/716466
peanut butter,560001,ok,2026-09-15T20:54:24,56,False,648920,Nutty,Nutty Chocolate Natural Peanut Butter,510 g,250,320,70,21.9,1,1,False,https://blinkit.com/prn/product/prid/648920
peanut butter,560001,ok,2026-09-15T20:54:24,57,False,716465,Doctor's Choice,Doctor's Choice High Protein Creamy Peanut Butter,350 g,349,449,100,22.3,1,1,False,https://blinkit.com/prn/product/prid/716465
peanut butter,560001,ok,2026-09-15T20:54:24,58,False,675190,I'MWow,I'MWow Creamy Peanut Butter,1 kg,349,499,150,30.1,1,1,False,https://blinkit.com/prn/product/prid/675190
peanut butter,560001,ok,2026-09-15T20:54:24,59,False,730118,The Nut Tale,The Nut Tale Chocolate Crunchy Peanut Butter,500 g,199,399,200,50.1,1,1,False,https://blinkit.com/prn/product/prid/730118
peanut butter,560001,ok,2026-09-15T20:54:24,60,False,720119,BeastLife,BeastLife Crunchy Coconut Peanut Butter,800 g,398,699,301,43.1,1,1,False,https://blinkit.com/prn/product/prid/720119
dog food,560001,ok,2026-09-15T20:54:55,1,True,660203,Benny's Bowl,Benny's Bowl Fresh Dog Food (Chicken & Rice),5 x 300 g,899,1075,176,16.4,1,1,False,https://blinkit.com/prn/product/prid/660203
dog food,560001,ok,2026-09-15T20:54:55,2,False,555458,Pedigree,"Pedigree Adult Wet Dog Food, Chicken & Liver Chunks in Gravy",130 g,70,70,0,0.0,17,17,False,https://blinkit.com/prn/product/prid/555458
dog food,560001,ok,2026-09-15T20:54:55,3,False,554176,HUFT,HUFT Sara's Wholesome Classic Chicken & Brown Rice Fresh Dog Food,100 g,78,99,21,21.2,7,7,False,https://blinkit.com/prn/product/prid/554176
dog food,560001,ok,2026-09-15T20:54:55,4,False,135584,Pedigree,Pedigree Adult Wet Dog Food -Chicken & Liver Chunks in Gravy flavour,70 g,50,50,0,0.0,11,11,False,https://blinkit.com/prn/product/prid/135584
dog food,560001,ok,2026-09-15T20:54:55,5,True,640126,Benny's Bowl,Benny's Bowl Chicken & Rice Fresh Dog Food,300 g,199,225,26,11.6,3,3,False,https://blinkit.com/prn/product/prid/640126
dog food,560001,ok,2026-09-15T20:54:55,6,False,352647,Pedigree,Pedigree Adult Dry Dog Food - Chicken & Vegetables,1.2 kg,313,340,27,7.9,2,2,False,https://blinkit.com/prn/product/prid/352647
dog food,560001,ok,2026-09-15T20:54:55,7,False,542106,HUFT,HUFT Sara's Wholesome Chicken & Turkey Fresh Dog Food,300 g,253,389,136,35.0,7,7,False,https://blinkit.com/prn/product/prid/542106
dog food,560001,ok,2026-09-15T20:54:55,8,False,20551,Pedigree,Pedigree Adult Dry Dog Food - Rice & Meat,1.2 kg,313,340,27,7.9,2,2,False,https://blinkit.com/prn/product/prid/20551
dog food,560001,ok,2026-09-15T20:54:55,9,True,639721,Benny's Bowl,Benny's Bowl Fresh Dog Food (Chicken & Pumpkin),5 x 300 g,999,1500,501,33.4,1,1,False,https://blinkit.com/prn/product/prid/639721
dog food,560001,ok,2026-09-15T20:54:55,10,False,462457,Kennel Kitchen,Kennel Kitchen Chicken Sticks with Flaxseed Dog Treat,100 g,190,199,9,4.5,6,6,False,https://blinkit.com/prn/product/prid/462457
dog food,560001,ok,2026-09-15T20:54:55,11,False,491824,Kennel Kitchen,Kennel Kitchen Lamb-Sticks with Pumpkin Dog Treat,70 g,199,199,0,0.0,6,6,False,https://blinkit.com/prn/product/prid/491824
dog food,560001,ok,2026-09-15T20:54:55,12,False,555459,Pedigree,Pedigree Adult Wet Dog Food - Chicken & Liver Chunks in Gravy,12 x 130 g,798,840,42,5.0,3,3,False,https://blinkit.com/prn/product/prid/555459
dog food,560001,ok,2026-09-15T20:54:55,13,True,767476,Drools,Drools Real Chicken Biryani Fresh Dog Food,150 g,92,99,7,7.1,1,1,False,https://blinkit.com/prn/product/prid/767476
dog food,560001,ok,2026-09-15T20:54:55,14,False,771576,Drools,Drools Sunday Roast with Chicken & Vegetables Chunks In Gravy Wet Dog Food,6 x 120 g,228,250,22,8.8,2,2,False,https://blinkit.com/prn/product/prid/771576
dog food,560001,ok,2026-09-15T20:54:55,15,False,443899,Pedigree,Pedigree Biscrok Dog Biscuit - Chicken with Milk,500 g,170,200,30,15.0,2,2,False,https://blinkit.com/prn/product/prid/443899
dog food,560001,ok,2026-09-15T20:54:55,16,False,27229,Pedigree,Pedigree Dry Puppy Food - Chicken & Milk,3 kg,740,770,30,3.9,3,3,False,https://blinkit.com/prn/product/prid/27229
dog food,560001,ok,2026-09-15T20:54:55,17,True,767475,Drools,Drools Real Chicken & Pumpkin Fresh Dog Food,150 g,92,99,7,7.1,3,3,False,https://blinkit.com/prn/product/prid/767475
dog food,560001,ok,2026-09-15T20:54:55,18,False,716207,Active,Active Mutton Biryani Fresh Dog Food,2 x 300 g,270,299,29,9.7,2,2,False,https://blinkit.com/prn/product/prid/716207
dog food,560001,ok,2026-09-15T20:54:55,19,False,235796,Pedigree,Pedigree Dentastix Oral Care Dental Treat Small-Breed (5-10 kg),110 g,152,160,8,5.0,3,3,False,https://blinkit.com/prn/product/prid/235796
dog food,560001,ok,2026-09-15T20:54:55,20,False,771579,Drools,Drools Real Chicken & Liver Chunks In Gravy Wet Dog Food,6 x 120 g,228,250,22,8.8,3,3,False,https://blinkit.com/prn/product/prid/771579
dog food,560001,ok,2026-09-15T20:54:55,21,True,767499,Drools,Drools Chicken Biryani Fresh Dog Food,350 g,180,199,19,9.5,2,2,False,https://blinkit.com/prn/product/prid/767499
dog food,560001,ok,2026-09-15T20:54:55,22,False,608385,HUFT,HUFT Sara's Wholesome Fresh Dog Food - Lamb & Apple,300 g,292,399,107,26.8,3,3,False,https://blinkit.com/prn/product/prid/608385
dog food,560001,ok,2026-09-15T20:54:55,23,False,112438,Drools,Drools Chicken & Egg Dry Puppy Food,1.2 kg,279,299,20,6.7,1,1,False,https://blinkit.com/prn/product/prid/112438
dog food,560001,ok,2026-09-15T20:54:55,24,False,541219,Pedigree,Pedigree Wet Puppy Food - Chicken & Liver Chunks,130 g,70,70,0,0.0,5,5,False,https://blinkit.com/prn/product/prid/541219
dog food,560001,ok,2026-09-15T20:54:55,25,True,769700,Drools,Drools Real Chicken & Turkey Fresh Dog Food,150 g,92,99,7,7.1,7,7,False,https://blinkit.com/prn/product/prid/769700
dog food,560001,ok,2026-09-15T20:54:55,26,False,624240,Purple Tails,Purple Tails Chicken Wrapped Milky Bones Dog Treat,70 g,199,229,30,13.1,2,2,False,https://blinkit.com/prn/product/prid/624240
dog food,560001,ok,2026-09-15T20:54:55,27,False,555646,Drools,Drools Chicken Liver Wet Puppy Food,6 x 150 g,225,250,25,10.0,3,3,False,https://blinkit.com/prn/product/prid/555646
dog food,560001,ok,2026-09-15T20:54:55,28,False,512642,PurePet,PurePet Adult Dry Dog Food (Chicken And Vegetable),1 kg,196,199,3,1.5,2,2,False,https://blinkit.com/prn/product/prid/512642
dog food,560001,ok,2026-09-15T20:54:55,29,True,768522,Drools,Drools Real ChickenVeggies Fresh Dog Food,150 g,92,99,7,7.1,6,6,False,https://blinkit.com/prn/product/prid/768522
dog food,560001,ok,2026-09-15T20:54:55,30,False,548059,HUFT,HUFT Sara’s Rich Blend Bone Broth Dog Wet Food,150 ml,149,149,0,0.0,2,2,False,https://blinkit.com/prn/product/prid/548059
dog food,560001,ok,2026-09-15T20:54:55,31,False,554181,HUFT,HUFT Sara's Wholesome Chicken Biryani Fresh Dog Food,300 g,228,299,71,23.7,5,5,False,https://blinkit.com/prn/product/prid/554181
dog food,560001,ok,2026-09-15T20:54:55,32,False,556001,HUFT,HUFT Sara's Wholesome Grain-Free Lamb & Apple Fresh Dog Food,100 g,98,135,37,27.4,8,8,False,https://blinkit.com/prn/product/prid/556001
dog food,560001,ok,2026-09-15T20:54:55,33,True,761411,HUFT,HUFT Sara's Wholesome Grain-Free Chicken & Turkey Fresh Dog Food,10 x 100 g,1097,1290,193,15.0,1,1,False,https://blinkit.com/prn/product/prid/761411
dog food,560001,ok,2026-09-15T20:54:55,34,False,430958,PurePet,PurePet Dog Biscuit with Real Chicken,800 g,294,300,6,2.0,1,1,False,https://blinkit.com/prn/product/prid/430958
dog food,560001,ok,2026-09-15T20:54:55,35,False,12473,Royal Canin,Royal Canin Mini Dog Dry Puppy Food,4 kg,3949,4310,361,8.4,2,2,False,https://blinkit.com/prn/product/prid/12473
dog food,560001,ok,2026-09-15T20:54:55,36,False,524506,Goofy Tails,Goofy Tails Bone Chicken Broth for Dogs,100 ml,94,106,12,11.3,3,3,False,https://blinkit.com/prn/product/prid/524506
dog food,560001,ok,2026-09-15T20:54:55,37,True,753730,HUFT,HUFT Sara's Wholesome Fresh Dog Food - Chicken Biryani,100 g,124,129,5,3.9,3,3,False,https://blinkit.com/prn/product/prid/753730
dog food,560001,ok,2026-09-15T20:54:55,38,False,12476,Pedigree,Pedigree Adult Dry Dog Food - Chicken & Vegetable,3 kg,701,730,29,4.0,3,3,False,https://blinkit.com/prn/product/prid/12476
dog food,560001,ok,2026-09-15T20:54:55,39,False,482913,Royal Canin,Royal Canin Maxi Dry Puppy Food,1 kg,1077,1110,33,3.0,2,2,False,https://blinkit.com/prn/product/prid/482913
dog food,560001,ok,2026-09-15T20:54:55,40,False,392781,Pedigree,Pedigree Dentastix Oral Care Dental Treat Large-Breed (25 kg+),2 x 270 g,521,560,39,7.0,1,1,False,https://blinkit.com/prn/product/prid/392781
dog food,560001,ok,2026-09-15T20:54:55,41,True,753731,HUFT,HUFT Sara's Wholesome Fresh Dog Food - Mutton Biryani,100 g,124,129,5,3.9,3,3,False,https://blinkit.com/prn/product/prid/753731
dog food,560001,ok,2026-09-15T20:54:55,42,False,633408,Farmina,Farmina N&D Pumpkin Chicken and Pomegranate Dry Dog Food,2.5 kg,2679,3090,411,13.3,2,2,False,https://blinkit.com/prn/product/prid/633408
dog food,560001,ok,2026-09-15T20:54:55,43,False,714237,Active,Active Chicken & Pumpkin Biryani Fresh Dog Food,2 x 300 g,270,299,29,9.7,1,1,False,https://blinkit.com/prn/product/prid/714237
dog food,560001,ok,2026-09-15T20:54:55,44,False,785320,Drools,Drools All Life Stages Dry Dog Food,3 kg,768,825,57,6.9,2,2,False,https://blinkit.com/prn/product/prid/785320
dog food,560001,ok,2026-09-15T20:54:55,45,True,782740,HUFT,HUFT Sara’s Wholesome Vegetable Biryani Wet Dog Food,1 unit,92,99,7,7.1,1,1,False,https://blinkit.com/prn/product/prid/782740
dog food,560001,ok,2026-09-15T20:54:55,46,False,430508,Drools,Drools Chicken & Egg Adult Dry Dog Food,4.2 kg,756,925,169,18.3,3,3,False,https://blinkit.com/prn/product/prid/430508
dog food,560001,ok,2026-09-15T20:54:55,47,False,570482,Drools,Drools Optimum Performance Adult Dry Dog Food (Chicken),10 kg,1288,1599,311,19.4,1,1,False,https://blinkit.com/prn/product/prid/570482
